       word        | catcode |                   catdesc
 month             | U       | unreserved
 move              | U       | unreserved
 name              | U       | unreserved
 names             | U       | unreserved
 national          | C       | unreserved (cannot be function or type name)
 natural           | T       | reserved (can be function or type name)
 nchar             | C       | unreserved (cannot be function or type name)
 new               | U       | unreserved
 next              | U       | unreserved
 no                | U       | unreserved
 none              | C       | unreserved (cannot be function or type name)
 not               | R       | reserved
 nothing           | U       | unreserved
 notify            | U       | unreserved
 notnull           | T       | reserved (can be function or type name)
 nowait            | U       | unreserved
 null              | R       | reserved
 nullif            | C       | unreserved (cannot be function or type name)
 nulls             | U       | unreserved
 numeric           | C       | unreserved (cannot be function or type name)
 object            | U       | unreserved
 of                | U       | unreserved
 off               | U       | unreserved
 offset            | R       | reserved
 oids              | U       | unreserved
 old               | U       | unreserved
 on                | R       | reserved
 only              | R       | reserved
 operator          | U       | unreserved
 option            | U       | unreserved
 options           | U       | unreserved
 or                | R       | reserved
 order             | R       | reserved
 ordinality        | U       | unreserved
 others            | U       | unreserved
 out               | C       | unreserved (cannot be function or type name)
 outer             | T       | reserved (can be function or type name)
 over              | U       | unreserved
 overlaps          | T       | reserved (can be function or type name)
 overlay           | C       | unreserved (cannot be function or type name)
 overriding        | U       | unreserved
 owned             | U       | unreserved
 owner             | U       | unreserved
 parallel          | U       | unreserved
 parser            | U       | unreserved
 partial           | U       | unreserved
 partition         | U       | unreserved
 passing           | U       | unreserved
 password          | U       | unreserved
 placing           | R       | reserved
 plans             | U       | unreserved
 policy            | U       | unreserved
 position          | C       | unreserved (cannot be function or type name)
 preceding         | U       | unreserved
 precision         | C       | unreserved (cannot be function or type name)
 prepare           | U       | unreserved
 prepared          | U       | unreserved
 preserve          | U       | unreserved
 primary           | R       | reserved
 prior             | U       | unreserved
 privileges        | U       | unreserved
 procedural        | U       | unreserved
 procedure         | U       | unreserved
 procedures        | U       | unreserved
 program           | U       | unreserved
 publication       | U       | unreserved
 quote             | U       | unreserved
 range             | U       | unreserved
 read              | U       | unreserved
 real              | C       | unreserved (cannot be function or type name)
 reassign          | U       | unreserved
 recheck           | U       | unreserved
 recursive         | U       | unreserved
 ref               | U       | unreserved
 references        | R       | reserved
 referencing       | U       | unreserved
 refresh           | U       | unreserved
 reindex           | U       | unreserved
 relative          | U       | unreserved
 release           | U       | unreserved
 rename            | U       | unreserved
 repeatable        | U       | unreserved
 replace           | U       | unreserved
 replica           | U       | unreserved
 reset             | U       | unreserved
 restart           | U       | unreserved
 restrict          | U       | unreserved
 returning         | R       | reserved
 returns           | U       | unreserved
 revoke            | U       | unreserved
 right             | T       | reserved (can be function or type name)
 role              | U       | unreserved
 rollback          | U       | unreserved
 rollup            | U       | unreserved
 routine           | U       | unreserved
 routines          | U       | unreserved
 row               | C       | unreserved (cannot be function or type name)
 rows              | U       | unreserved
 rule              | U       | unreserved
 savepoint         | U       | unreserved
 schema            | U       | unreserved
 schemas           | U       | unreserved
 scroll            | U       | unreserved
 search            | U       | unreserved
 second            | U       | unreserved
 security          | U       | unreserved
 select            | R       | reserved
 sequence          | U       | unreserved
 sequences         | U       | unreserved
